family,Category,rating,id,weights,styles,connotations,character,available_fonts
Noto Serif Display,serif,528,noto-serif-display,"100,200,300,400,500,600,700,800,900","['italic', 'normal']","traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"NotoSerifDisplay-Italic,NotoSerifDisplay"
Bungee Shade,display,529,bungee-shade,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,BungeeShade-Regular
Seaweed Script,display,530,seaweed-script,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,SeaweedScript-Regular
Suez One,serif,531,suez-one,400,['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,SuezOne-Regular
Kosugi,sans-serif,532,kosugi,400,['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Kosugi-Regular,KosugiMaru-Regular"
Maitree,serif,533,maitree,"200,300,400,500,600,700",['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"Maitree-SemiBold,Maitree-Bold,Maitree-Regular,Maitree-Medium,Maitree-ExtraLight,Maitree-Light"
Monsieur La Doulaise,handwriting,534,monsieur-la-doulaise,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,MonsieurLaDoulaise-Regular
Delius,handwriting,535,delius,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,"DeliusSwashCaps-Regular,DeliusUnicase-Bold,DeliusUnicase-Regular,Delius-Regular"
Yesteryear,handwriting,536,yesteryear,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,Yesteryear-Regular
Nixie One,display,537,nixie-one,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,NixieOne-Regular
Aladin,handwriting,538,aladin,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,Aladin-Regular
M PLUS 1,sans-serif,539,m-plus-1,"100,200,300,400,500,600,700,800,900",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"RoundedMplus1c-Medium,MPLUS1p-ExtraBold,RoundedMplus1c-Light,MPLUS1Code,MPLUS1,MPLUS1p-Light,MPLUS1p-Thin,RoundedMplus1c-Bold,RoundedMplus1c-Thin,MPLUS1p-Bold,MPLUS1p-Black,MPLUS1p-Medium,RoundedMplus1c-Regular,RoundedMplus1c-Black,MPLUS1p-Regular,RoundedMplus1c-ExtraBold"
Oxanium,display,540,oxanium,"200,300,400,500,600,700,800",['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,Oxanium
Lily Script One,display,541,lily-script-one,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,LilyScriptOne-Regular
Mate SC,serif,542,mate-sc,400,['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,MateSC-Regular
Bowlby One,display,543,bowlby-one,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,"BowlbyOneSC-Regular,BowlbyOne-Regular"
Grandstander,display,544,grandstander,"100,200,300,400,500,600,700,800,900","['italic', 'normal']","creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,"Grandstander,Grandstander-Italic"
Quintessential,handwriting,545,quintessential,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,Quintessential-Regular
Major Mono Display,monospace,546,major-mono-display,400,['normal'],"technical, precise, retro, futuristic, minimal, structured",character5,MajorMonoDisplay-Regular
Marmelad,sans-serif,547,marmelad,400,['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,Marmelad-Regular
Molengo,sans-serif,548,molengo,400,['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,Molengo-Regular
Amiko,sans-serif,549,amiko,"400,600,700",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Amiko-Bold,Amiko-Regular,Amiko-SemiBold"
Trocchi,serif,550,trocchi,400,['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,Trocchi-Regular
Baloo Tamma 2,display,551,baloo-tamma-2,"400,500,600,700,800",['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,BalooTamma2
Ovo,serif,552,ovo,400,['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,Ovo-Regular
Thasadith,sans-serif,553,thasadith,"400,700","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Thasadith-Italic,Thasadith-BoldItalic,Thasadith-Bold,Thasadith-Regular"
Fauna One,serif,554,fauna-one,400,['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,FaunaOne-Regular
ZCOOL XiaoWei,sans-serif,555,zcool-xiaowei,400,['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,ZCOOLXiaoWei-Regular
Calligraffitti,handwriting,556,calligraffitti,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,Calligraffitti-Regular
Libre Bodoni,serif,557,libre-bodoni,"400,500,600,700","['italic', 'normal']","traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"LibreBodoni,LibreBodoni-Italic"
Irish Grover,display,558,irish-grover,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,IrishGrover-Regular
Noto Sans Hebrew,sans-serif,559,noto-sans-hebrew,"100,200,300,400,500,600,700,800,900",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,NotoSansHebrew
Hanuman,serif,560,hanuman,"100,300,400,700,900",['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"Hanuman-Regular,Hanuman-Black,Hanuman-Light,Hanuman-Bold,Hanuman-Thin"
Vollkorn SC,serif,561,vollkorn-sc,"400,600,700,900",['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"VollkornSC-SemiBold,VollkornSC-Black,VollkornSC-Bold,VollkornSC-Regular"
Spinnaker,sans-serif,562,spinnaker,400,['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,Spinnaker-Regular
Smokum,display,563,smokum,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,Smokum-Regular
Brygada 1918,serif,564,brygada-1918,"400,500,600,700","['italic', 'normal']","traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"Brygada1918-Italic,Brygada1918"
Skranji,display,565,skranji,"400,700",['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,"Skranji-Regular,Skranji-Bold"
Klee One,handwriting,566,klee-one,"400,600",['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,"KleeOne-Regular,KleeOne-SemiBold"
Dawning of a New Day,handwriting,567,dawning-of-a-new-day,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,DawningofaNewDay
Copse,serif,568,copse,400,['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,Copse-Regular
Kite One,sans-serif,569,kite-one,400,['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,KiteOne-Regular
League Gothic,sans-serif,570,league-gothic,400,['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,LeagueGothic
Encode Sans Semi Condensed,sans-serif,571,encode-sans-semi-condensed,"100,200,300,400,500,600,700,800,900",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"EncodeSansSemiCondensed-Bold,EncodeSansSemiCondensed-Medium,EncodeSansSemiCondensed-Black,EncodeSansSemiCondensed-Thin,EncodeSansSemiCondensed-Regular,EncodeSansSemiCondensed-SemiBold,EncodeSansSemiCondensed-ExtraLight,EncodeSansSemiCondensed-ExtraBold,EncodeSansSemiCondensed-Light"
Oxygen Mono,monospace,572,oxygen-mono,400,['normal'],"technical, precise, retro, futuristic, minimal, structured",character5,OxygenMono-Regular
Headland One,serif,573,headland-one,400,['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,HeadlandOne-Regular
Miriam Libre,sans-serif,574,miriam-libre,"400,700",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"MiriamLibre-Bold,MiriamLibre-Regular"
Proza Libre,sans-serif,575,proza-libre,"400,500,600,700,800","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"ProzaLibre-Medium,ProzaLibre-BoldItalic,ProzaLibre-MediumItalic,ProzaLibre-ExtraBoldItalic,ProzaLibre-Regular,ProzaLibre-ExtraBold,ProzaLibre-SemiBoldItalic,ProzaLibre-SemiBold,ProzaLibre-Italic,ProzaLibre-Bold"
Cambay,sans-serif,576,cambay,"400,700","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Cambay-Regular,Cambay-BoldItalic,Cambay-Bold,Cambay-Italic"
Vazirmatn,sans-serif,577,vazirmatn,"100,200,300,400,500,600,700,800,900",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,Vazirmatn
B612,sans-serif,578,b612,"400,700","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"B612Mono-Bold,B612-Italic,B612-BoldItalic,B612Mono-Italic,B612Mono-BoldItalic,B612Mono-Regular,B612-Bold,B612-Regular"
Hepta Slab,serif,581,hepta-slab,"100,200,300,400,500,600,700,800,900",['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,HeptaSlab
Marvel,sans-serif,582,marvel,"400,700","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Marvel-BoldItalic,Marvel-Bold,Marvel-Regular,Marvel-Italic"
Kurale,serif,583,kurale,400,['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,Kurale-Regular
Fjord One,serif,584,fjord-one,400,['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,FjordOne-Regular
Waiting for the Sunrise,handwriting,585,waiting-for-the-sunrise,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,WaitingfortheSunrise
Kelly Slab,display,586,kelly-slab,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,KellySlab-Regular
Rosario,sans-serif,587,rosario,"300,400,500,600,700","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Rosario-Italic,Rosario"
Slabo 13px,serif,588,slabo-13px,400,['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,Slabo13px-Regular
Limelight,display,589,limelight,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,Limelight-Regular
Stardos Stencil,display,590,stardos-stencil,"400,700",['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,"StardosStencil-Bold,StardosStencil-Regular"
Sunflower,sans-serif,591,sunflower,"300,500,700",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Sunflower-Light,Sunflower-Bold,Sunflower-Medium"
Share,display,592,share,"400,700","['italic', 'normal']","creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,"Share-Bold,Share-Regular,ShareTechMono-Regular,Share-Italic,ShareTech-Regular,Share-BoldItalic"
Rasa,serif,593,rasa,"300,400,500,600,700","['italic', 'normal']","traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"FiraSansCondensed-Black,FiraSans-Thin,FiraSansExtraCondensed-MediumItalic,FiraSans-ExtraLightItalic,FiraSans-LightItalic,FiraSansExtraCondensed-Italic,FiraSansCondensed-Regular,FiraSans-Medium,FiraSans-BoldItalic,Rasa,FiraSans-Bold,FiraSans-ExtraLight,FiraSansCondensed-ExtraBold,FiraSansExtraCondensed-BlackItalic,FiraSans-ThinItalic,FiraSansExtraCondensed-Light,FiraSansCondensed-Medium,FiraSansCondensed-Bold,FiraSansExtraCondensed-LightItalic,FiraSans-MediumItalic,FiraSansCondensed-Thin,FiraSansCondensed-SemiBoldItalic,FiraSans-BlackItalic,FiraSans-Light,FiraSansCondensed-ExtraLightItalic,FiraSansCondensed-MediumItalic,Rasa-Italic,FiraSansExtraCondensed-BoldItalic,FiraSansExtraCondensed-ThinItalic,FiraSans-Black,FiraSansExtraCondensed-ExtraLight,FiraSansCondensed-LightItalic,FiraSans-ExtraBold,FiraSans-SemiBold,FiraSans-SemiBoldItalic,FiraSansExtraCondensed-Medium,FiraSansCondensed-SemiBold,FiraSansExtraCondensed-Thin,FiraSansExtraCondensed-Black,FiraSansExtraCondensed-Regular,FiraSansExtraCondensed-ExtraLightItalic,FiraSansCondensed-ExtraBoldItalic,FiraSansExtraCondensed-SemiBoldItalic,FiraSans-ExtraBoldItalic,FiraSansCondensed-Light,FiraSansCondensed-BoldItalic,FiraSansExtraCondensed-ExtraBold,FiraSansCondensed-Italic,FiraSansExtraCondensed-Bold,FiraSans-Regular,FiraSans-Italic,FiraSansExtraCondensed-ExtraBoldItalic,FiraSansCondensed-ExtraLight,FiraSansCondensed-ThinItalic,FiraSansExtraCondensed-SemiBold,FiraSansCondensed-BlackItalic"
Grenze Gotisch,display,594,grenze-gotisch,"100,200,300,400,500,600,700,800,900",['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,GrenzeGotisch
Allan,display,595,allan,"400,700",['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,"Mallanna-Regular,Allan-Bold,Allan-Regular"
Atma,display,597,atma,"300,400,500,600,700",['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,"Atma-Medium,Atma-SemiBold,Atma-Light,Atma-Bold,Atma-Regular"
Judson,serif,598,judson,"400,700","['italic', 'normal']","traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"Judson-Bold,Judson-Regular,Judson-Italic"
Cutive,serif,599,cutive,400,['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"Cutive-Regular,CutiveMono-Regular"
Love Ya Like A Sister,display,600,love-ya-like-a-sister,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,LoveYaLikeASister
Galada,display,601,galada,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,Galada-Regular
Goudy Bookletter 1911,serif,602,goudy-bookletter-1911,400,['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,GoudyBookletter1911
Fahkwang,sans-serif,603,fahkwang,"200,300,400,500,600,700","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Fahkwang-Regular,Fahkwang-Italic,Fahkwang-SemiBold,Fahkwang-Bold,Fahkwang-Light,Fahkwang-BoldItalic,Fahkwang-MediumItalic,Fahkwang-ExtraLight,Fahkwang-ExtraLightItalic,Fahkwang-Medium,Fahkwang-SemiBoldItalic,Fahkwang-LightItalic"
Caladea,serif,604,caladea,"400,700","['italic', 'normal']","traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"Caladea-Bold,Caladea-Regular,Caladea-Italic,Caladea-BoldItalic"
Baloo Paaji 2,display,605,baloo-paaji-2,"400,500,600,700,800",['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,BalooPaaji2
Lemon,display,606,lemon,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,"Lemonada,LemonadaVFBeta,Lemon-Regular"
Gugi,display,607,gugi,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,Gugi-Regular
BIZ UDPGothic,sans-serif,608,biz-udpgothic,"400,700",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"BIZUDPGothic-Regular,BIZUDPGothic-Bold"
Zen Antique,serif,609,zen-antique,400,['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"ZenAntique-Regular,ZenAntiqueSoft-Regular"
Zen Old Mincho,serif,610,zen-old-mincho,"400,500,600,700,900",['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"ZenOldMincho-SemiBold,ZenOldMincho-Black,ZenOldMincho-Bold,ZenOldMincho-Regular,ZenOldMincho-Medium"
Baloo Thambi 2,display,611,baloo-thambi-2,"400,500,600,700,800",['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,BalooThambi2
Bentham,serif,612,bentham,400,['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,Bentham-Regular
Fondamento,handwriting,613,fondamento,400,"['italic', 'normal']","personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,"Fondamento-Regular,Fondamento-Italic"
Ma Shan Zheng,handwriting,614,ma-shan-zheng,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,MaShanZheng-Regular
Metrophobic,sans-serif,615,metrophobic,400,['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,Metrophobic-Regular
Suranna,serif,616,suranna,400,['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,Suranna-Regular
Pompiere,display,617,pompiere,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,Pompiere-Regular
Jockey One,sans-serif,618,jockey-one,400,['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,JockeyOne-Regular
Cormorant Upright,serif,619,cormorant-upright,"300,400,500,600,700",['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"CormorantUpright-SemiBold,CormorantUpright-Bold,CormorantUpright-Regular,CormorantUpright-Light,CormorantUpright-Medium"
Bakbak One,display,620,bakbak-one,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,BakbakOne-Regular
Raleway Dots,display,621,raleway-dots,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,RalewayDots-Regular
Turret Road,display,622,turret-road,"200,300,400,500,700,800",['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,"TurretRoad-Light,TurretRoad-Medium,TurretRoad-Bold,TurretRoad-ExtraBold,TurretRoad-ExtraLight,TurretRoad-Regular"
Zen Kaku Gothic Antique,sans-serif,623,zen-kaku-gothic-antique,"300,400,500,700,900",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"ZenKakuGothicAntique-Light,ZenKakuGothicAntique-Bold,ZenKakuGothicAntique-Medium,ZenKakuGothicAntique-Regular,ZenKakuGothicAntique-Black"
Anek Malayalam,sans-serif,624,anek-malayalam,"100,200,300,400,500,600,700,800",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,AnekMalayalam
Harmattan,sans-serif,625,harmattan,"400,700",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Harmattan-Regular,Harmattan-Bold"
Cormorant SC,serif,626,cormorant-sc,"300,400,500,600,700",['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"CormorantSC-Medium,CormorantSC-Bold,CormorantSC-Light,CormorantSC-Regular,CormorantSC-SemiBold"
Gabriela,serif,627,gabriela,400,['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,Gabriela-Regular
Euphoria Script,handwriting,628,euphoria-script,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,EuphoriaScript-Regular
Alexandria,sans-serif,629,alexandria,"100,200,300,400,500,600,700,800,900",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,Alexandria
McLaren,display,630,mclaren,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,McLaren-Regular
UnifrakturMaguntia,display,631,unifrakturmaguntia,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,UnifrakturMaguntia-Book
Sansita Swashed,display,632,sansita-swashed,"300,400,500,600,700,800,900",['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,SansitaSwashed
Spectral SC,serif,633,spectral-sc,"200,300,400,500,600,700,800","['italic', 'normal']","traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"SpectralSC-LightItalic,SpectralSC-Light,SpectralSC-ExtraBold,SpectralSC-Bold,SpectralSC-Medium,SpectralSC-SemiBoldItalic,SpectralSC-MediumItalic,SpectralSC-Regular,SpectralSC-SemiBold,SpectralSC-BoldItalic,SpectralSC-ExtraLightItalic,SpectralSC-ExtraLight,SpectralSC-ExtraBoldItalic,SpectralSC-Italic"
Pirata One,display,634,pirata-one,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,PirataOne-Regular
IBM Plex Sans KR,sans-serif,635,ibm-plex-sans-kr,"100,200,300,400,500,600,700",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"IBMPlexSansKR-ExtraLight,IBMPlexSansKR-Regular,IBMPlexSansKR-SemiBold,IBMPlexSansKR-Medium,IBMPlexSansKR-Light,IBMPlexSansKR-Thin,IBMPlexSansKR-Bold"
Fresca,sans-serif,636,fresca,400,['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,Fresca-Regular
David Libre,serif,637,david-libre,"400,500,700",['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"DavidLibre-Bold,DavidLibre-Regular,DavidLibre-Medium"
Kadwa,serif,638,kadwa,"400,700",['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"Kadwa-Bold,Kadwa-Regular"
Mansalva,handwriting,639,mansalva,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,Mansalva-Regular
Rakkas,display,640,rakkas,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,Rakkas-Regular
Gurajada,serif,641,gurajada,400,['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,Gurajada-Regular
Brawler,serif,642,brawler,"400,700",['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"Brawler-Regular,Brawler-Bold"
Quando,serif,644,quando,400,['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,Quando-Regular
Style Script,handwriting,645,style-script,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,StyleScript-Regular
Andika,sans-serif,646,andika,"400,700","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Andika-Bold,Andika-BoldItalic,Andika-Italic,Andika-Regular"
Ms Madi,handwriting,647,ms-madi,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,MsMadi-Regular
Odibee Sans,display,648,odibee-sans,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,OdibeeSans-Regular
Della Respira,serif,649,della-respira,400,['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,DellaRespira-Regular
Mirza,display,650,mirza,"400,500,600,700",['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,"Mirza-Regular,Mirza-Medium,Mirza-Bold,Mirza-SemiBold"
Inder,sans-serif,651,inder,400,['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,Inder-Regular
Stick No Bills,sans-serif,652,stick-no-bills,"200,300,400,500,600,700,800",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,StickNoBills
Sedgwick Ave,handwriting,653,sedgwick-ave,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,"SedgwickAveDisplay-Regular,SedgwickAve-Regular"
Homenaje,sans-serif,654,homenaje,400,['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,Homenaje-Regular
Kodchasan,sans-serif,655,kodchasan,"200,300,400,500,600,700","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Kodchasan-Italic,Kodchasan-MediumItalic,Kodchasan-SemiBoldItalic,Kodchasan-SemiBold,Kodchasan-Bold,Kodchasan-ExtraLightItalic,Kodchasan-Regular,Kodchasan-BoldItalic,Kodchasan-Medium,Kodchasan-LightItalic,Kodchasan-Light,Kodchasan-ExtraLight"
Montez,handwriting,656,montez,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,Montez-Regular
Fanwood Text,serif,657,fanwood-text,400,"['italic', 'normal']","traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"FanwoodText-Regular,FanwoodText-Italic"
Oleo Script Swash Caps,display,658,oleo-script-swash-caps,"400,700",['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,"OleoScriptSwashCaps-Bold,OleoScriptSwashCaps-Regular"
Italiana,serif,659,italiana,400,['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,Italiana-Regular
Bellota Text,display,660,bellota-text,"300,400,700","['italic', 'normal']","creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,"BellotaText-LightItalic,BellotaText-Italic,BellotaText-Regular,BellotaText-Bold,BellotaText-BoldItalic,BellotaText-Light"
Farro,sans-serif,661,farro,"300,400,500,700",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Farro-Light,Farro-Bold,Farro-Medium,Farro-Regular"
Montserrat Subrayada,sans-serif,662,montserrat-subrayada,"400,700",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"MontserratSubrayada-Bold,MontserratSubrayada-Regular"
Nova Mono,monospace,663,nova-mono,400,['normal'],"technical, precise, retro, futuristic, minimal, structured",character5,NovaMono
Noto Serif Malayalam,serif,664,noto-serif-malayalam,"100,200,300,400,500,600,700,800,900",['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,NotoSerifMalayalam
Mouse Memoirs,sans-serif,665,mouse-memoirs,400,['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,MouseMemoirs-Regular
Radley,serif,666,radley,400,"['italic', 'normal']","traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"Radley-Italic,Radley-Regular"
KoHo,sans-serif,667,koho,"200,300,400,500,600,700","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"KoHo-Medium,KoHo-SemiBold,KoHo-Light,KoHo-Bold,KoHo-ExtraLight,KoHo-BoldItalic,KoHo-ExtraLightItalic,KoHo-MediumItalic,KoHo-Regular,KoHo-SemiBoldItalic,KoHo-LightItalic,KoHo-Italic"
Metamorphous,display,668,metamorphous,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,Metamorphous-Regular
Megrim,display,669,megrim,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,Megrim
IM Fell Double Pica,serif,670,im-fell-double-pica,400,"['italic', 'normal']","traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"IMFELLDoublePica-Italic,IMFELLDoublePica-Regular"
