family,Category,rating,id,weights,styles,connotations,character,available_fonts,fam_lower,year,description,keywords,designer
Xanh Mono,monospace,852,xanh-mono,400,"['italic', 'normal']","technical, precise, retro, futuristic, minimal, structured",character5,"XanhMono-Italic,XanhMono-Regular",xanhmono,2020.0,"
Xanh Mono is a mono-serif typeface, designed by Lam Bao and Duy Dao. 
In Vietnamese, “Xanh” has a lot of meanings, including blue; green; young; etc. We believe that Xanh Mono will not only present a fresh and gentle look, but also a stylish and unique approach for both reading and display purposes.


To contribute see https://github.com/yellow-type-foundry/xanhmono.

",set(),"['Yellow Type', 'Lam Bao', 'Duy Dao']"
Kotta One,serif,853,kotta-one,400,['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,KottaOne-Regular,kottaone,2012.0,"Kotta One is a new and unusual text typeface that mixes the characteristics of an italic with legibility of a roman. Kotta uses a true calligraphic construction, with a structure based on a real italic hand, not simple mechanical slanted forms. Like Renaissance typefaces it is an independent style, not merely an accompaniment for a roman. Kotta One is also a modern style, angular and geometric, exploring the ideas of American typographer Williams Addison Dwiggins and his M-Formula. Sharp lines and strong horizontal strokes give it a rhythm that reads well in long texts.","{'strong', 'modern', 'unusual', 'calligraphic', 'characteristic', 'mechanical', 'graphic'}",['Ania Kruk']
Red Rose,display,854,red-rose,"300,400,500,600,700",['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,RedRose,redrose,2018.0,"Red Rose Pro is a latin display typeface designed by Jaikishan Patel. It was exclusively designed for posters of Genre: Love, Romance, Drama, Thriller, Noir and Passion.
The current version of the family includes 3 weights; Light, Regular and Bold. Each font includes 640 glyphs that covers Western, Central and South Latin as well as Vietnamese.
To contribute, see https://github.com/magictype/redrose
",set(),['Jaikishan Patel']
Imprima,sans-serif,855,imprima,400,['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,Imprima-Regular,imprima,2012.0,"Imprima looks excellent even on cheap home printers because it has broad counters, strong joins between stems and inktraps that enable it to perform well in very small sizes. Professionally printed documents will make it look even better, especially in large sizes, because there the details of its design that are distinctive become clearly visible. The design of this typeface family is cared for as one cares for your own family. Each component has been treated humanely, by hand.
The February 2023 update features a bigger glyphset, fractions and some minor aesthetic modifications.
To contribute, see github.com/etunni/imprima.
","{'strong', 'enable', 'aesthetic', 'special', 'bigger'}",['Eduardo Tunni']
Gayathri,sans-serif,856,gayathri,"100,400,700",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Gayathri-Regular,Gayathri-Thin,Gayathri-Bold",gayathri,2019.0,"A gentle and modern Malayalam display typeface. Available in three weights, Gayathri is best suited for headlines, posters, titles and captions. Unicode compliant and libre licensed. 
To contribute, see gitlab.com/smc/fonts/gayathri.
",{'modern'},"['SMC', 'Binoy Dominic']"
Bigshot One,display,857,bigshot-one,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,BigshotOne-Regular,bigshotone,2011.0,Bigshot One is a contemporary Didone. The design plays within its systematic features and likes to be cheeky. Bigshot One also likes to show-off and prefers big display sizes.,{'contemporary'},['Gesine Todt']
Bellota,display,858,bellota,"300,400,700","['italic', 'normal']","creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,"Bellota-Regular,BellotaText-LightItalic,Bellota-LightItalic,Bellota-Light,BellotaText-Italic,BellotaText-Regular,BellotaText-Bold,BellotaText-BoldItalic,BellotaText-Light,Bellota-Italic,Bellota-Bold,Bellota-BoldItalic",bellota,2019.0,"Bellota is an ornamented, low contrast sans-serif with text and swash alternates. It’s just cute enough!
It comes in two variations: Normal and Text. Each of these comes in three weights (Light/Regular/Bold) and Italics. There are stylistic alternates (for swash and non-ornamented characters) and ligatures available through OpenType features. Stylistic Set 1: Text, Stylistic Set 2: Swash caps.
To contribute to the project, please go to github.com/kemie/Bellota-Font.","{'stylistic', 'available'}",['Kemie Guaida']
Sofia Sans,sans-serif,859,sofia-sans,"100,200,300,400,500,600,700,800,900","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"SofiaSans,SofiaSansCondensed,SofiaSansCondensed-Italic,SofiaSans-Italic,SofiaSansExtraCondensed-Italic,SofiaSansSemiCondensed-Italic,SofiaSansExtraCondensed,SofiaSansSemiCondensed",sofiasans,2019.0,"
     Originaly designed as a typeface for the capital city of Bulgaria, Sofia Sans is a comprehensive type system in four widths (Normal,  SemiCondensed, Condensed and  ExtraCondensed) with extended coverage of the Latin, Greek, and Cyrillic Scripts.


     Inspired by the early-twentieth-century so-called technical sans serifs typefaces with confident letterforms, a pronounced vertical impetus, and tense curves, Sofia Sans also has nice humanistic details and soft round corners that reminds print work with hot metal typesetting.


     With narrow proportions and a generous x-height, is a space-saving workhorse that would work well in very diverse environments. Sofia Sans is also a feature-rich OpenType family with a large character set including small caps, several figure styles, arrows, numerals in circles among others.


     To contribute, see github.com/lettersoup/Sofia-Sans.

","{'vertical', 'generous', 'humanistic', 'several', 'technical'}","['Lettersoup', 'Botio Nikoltchev', 'Ani Petrova']"
Ephesis,handwriting,860,ephesis,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,Ephesis-Regular,ephesis,2021.0,"
Ephesis is a contemporary script great for casual invitations, cards, tubes, scrapbooking.


It comes with Latin Character sets including Western, Central, and Vietnamese language support.


To contribute, see github.com/googlefonts/ephesis.

","{'casual', 'contemporary'}",['Robert Leuschke']
Ranchers,display,861,ranchers,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,Ranchers-Regular,ranchers,1987.0,"Ranchers is one of the many hand-lettering artists' relaxed interpretations
of sans serif type, typical of the 1950s. It's great for big posters and fun
headlines. Use it bigger than 40px for maximum effect.","{'typical', 'bigger'}",['Impallari Type']
Odor Mean Chey,serif,862,odor-mean-chey,400,['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,OdorMeanChey-Regular,odormeanchey,2019.0,"
Odor Mean Chey is a Khmer font for headlines, titles and subtitles, and even banner designs.


To contribute, see github.com/danhhong/OdorMeanChey.
",set(),['Danh Hong']
Shalimar,handwriting,863,shalimar,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,Shalimar-Regular,shalimar,2021.0,"
Shalimar is an upright script inspired by the calligraphic strokes of a flat nib pen. There are script style capitals that may be substituted by more Roman forms with the stylistic set.


It comes with Latin Character sets including Western, Central, and Vietnamese language support.


To contribute, see github.com/googlefonts/shalimar.

","{'calligraphic', 'upright', 'stylistic', 'graphic'}",['Robert Leuschke']
Sono,sans-serif,864,sono,"200,300,400,500,600,700,800",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,SonoMONO,sono,2020.0,"Sono is a soft monospace (or proportional!) variable font. It has seven weights: ExtraLight through ExtraBold. 
The default style is fixed-width (and obviously not kerned), but thanks to the ""mono"" axis, you can add kerning and make the design proportional.
To contribute, see github.com/sursly/sono.
",{'variable'},['Tyler Finck']
Mina,sans-serif,865,mina,"400,700",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Mina-Regular,Adamina-Regular,Mina-Bold",mina,2015.0,"
Mina is a contemporary geometric Bangla (Bengali) and Latin family. 
The family comes in two weights, Regular and Bold. 
It started by extending the Latin font Exo, initially designed by Natanael Gama. 
It works well as a display typeface, but is also designed to perform at small to intermediate text sizes.


To learn more, visit github.com/suman51284/Mina

","{'contemporary', 'initial'}","['Suman Bhandary', 'Natanael Gama', 'Mooniak']"
Vibur,handwriting,866,vibur,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,Vibur-Regular,vibur,2010.0,Vibur is a font based on handwriting. Author of the typeface Johan Kallas set out to create a display font from his own handwriting by making it more pronounced and re-modelling the strokes - making it nicer than his actual handwriting is - that can be used for various typesetting contexts. It comes with numerous ligatures that can be activated with OpenType features. The curvy style is best combined with playful and bright designs.,{'various'},['Johan Kallas']
Port Lligat Sans,sans-serif,867,port-lligat-sans,400,['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,PortLligatSans-Regular,portlligatsans,2011.0,"Port Lligat Sans is a display typeface. It has a soft variation in strokes, condensed structure, vertical stress, and a well balance groovy rhythm. It is particularly useful for both short text and headlines, but it is also comfortable for reading on screen. It is designed to become a super family with styles in many different typographical categories matching the exactly weight and width across the whole family. As a result they can be used together in many different ways.  The first releases are the regular Roman styles of the Sans and Slab families. The Sans is the basic structure for the rest of the styles. It has a white interior simple form, non showy terminals. The strokes are not straight, they have entasis on them, also in the end of the strokes as terminals.","{'different', 'vertical', 'particular', 'useful', 'typographic', 'regular', 'comfortable', 'graphic'}",['Tipo']
Sarpanch,sans-serif,868,sarpanch,"400,500,600,700,800,900",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Sarpanch-SemiBold,Sarpanch-Black,Sarpanch-Bold,Sarpanch-ExtraBold,Sarpanch-Regular,Sarpanch-Medium",sarpanch,2014.0,"Display families with extensive character sets are rare for any script. With Indian typefaces, large character sets are often even less common. The Indian Type Foundry’s font families have been an exception, however. Sarpanch continues this trend. Sarpanch is an Open Source typeface supporting the Devanagari and Latin scripts. It was designed for use in large point sizes and pixel sizes. Sarpanch’s letterforms are made up of strokes with a high contrast. They are also drawn with wide proportions, based on a squared construction principle.
Six fonts make up the Sarpanch family, ranging in weight from Regular to Black. As weight increases along the family’s axis, vertical strokes become thicker, but the typeface’s horizontals retain the same thickness across each weight. While the rather wide Regular weight of the family is almost monolinear, the Black weight appears to have a very high degree of contrast.
The Regular, Medium and Semibold fonts are recommended for use in short headlines, while Bold, Heavy and Black are intended primarily for setting single words or pairs. At display sizes, Sarpanch works equally well on screen or in print. Each font contains 1035 glyphs and offers full support for the conjuncts and ligatures required by languages written in the Devanagari script.
The Medium–Black weights of the Sarpanch family were design by Manushi Parikh at ITF in 2014. Jyotish Sonowal designed the Regular weight. Sarpanch is an excellent choice for use in advertising or for news tickers on television screens (breaking news, etc.) In Hindi, the word Sarpanch means ‘the head of a village’.
","{'vertical', 'extensive', 'single', 'common'}",['Indian Type Foundry']
MedievalSharp,display,869,medievalsharp,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,MedievalSharp,medievalsharp,2011.0,"This is another of my old fonts used to make inscriptions on stone. I created the MedievalSharp font in around 1995 like my other fonts - when I started doing the inscriptions on stone professionally. It's based on gothic letters. Initially the font contained only capitals and digits, and later I made missing small fonts and some basical signs. In 2010 I started convert my typeface designs into digital fonts. The first was NovaCut and all the Nova family, and here's another...","{'professional', 'gothic'}",['Wojciech Kalinowski']
Kaisei Tokumin,serif,870,kaisei-tokumin,"400,500,700,800",['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"KaiseiTokumin-ExtraBold,KaiseiTokumin-Bold,KaiseiTokumin-Medium,KaiseiTokumin-Regular",kaiseitokumin,2020.0,"
Kaisei Tokumin is a shorten word for Tokudai Mincho Kana, meaning ""Extra Bold Serif Kana,"" intended for the strong title usage. Extra bold typefaces sometimes become unbalanced when having heavier density in the glyph, and loses the breathe of words. Kaisei Tokumin is designed to keep the legibility and still have power as an extra bold typeface.


To contribute to the project, visit https://github.com/FontKai-Kaisei/Kaisei

",{'strong'},['Font-Kai']
Prociono,serif,871,prociono,400,['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,Prociono-Regular,prociono,2011.0,"
Prociono (pro-tsee-O-no) is an Esperanto word meaning either the star Procyon or the animal species known as the raccoon. 
It is a roman with blackletter elements.
To learn more, see bitbucket.org/sortsmill/sortsmill-fonts and theleagueofmoveabletype.com/prociono

",set(),['Barry Schwartz']
Delius Unicase,handwriting,872,delius-unicase,"400,700",['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,"DeliusUnicase-Bold,DeliusUnicase-Regular",deliusunicase,2011.0,"Delius Unicase is part of a high quality comic book lettering typeface super-family. It has mixed uppercase and lowercase letters for 'unicase' uses, such as in comic strip lettering. It has companion families, Delius and Delius Swash Caps. A round marker was used to define Delius's stroke: the line gets thicker at both ends to define the beginning and end of the stroke, as a marker line would do, and the ductus imitates the movements of handwriting.",set(),['Natalia Raices']
Sonsie One,display,873,sonsie-one,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,SonsieOne-Regular,sonsieone,2011.0,"Foundry: Sorkin Type Co
Sonsie One is a heavy, medium contrast, large x-height script font. It was inspired by hand painted signs seen in Munich. Sonsie One improves on its sources by adding warmth, smoother flow and of touch of funkiness. Sonsie One is best used for display purposes at medium to large sizes.
Source files are available from Google Code.
To contribute to the project contact Eben Sorkin.
",{'available'},['Riccardo De Franceschi']
Chango,display,874,chango,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,Chango-Regular,chango,2011.0,"Chango is a display face based on letters drawn by Mexican illustrator Ernesto “Chango” García Cabral. It’s big and heavy, ideal for head-line body sizes with a humorous touch.",set(),['Fontstage']
Sumana,serif,875,sumana,"400,700",['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"Sumana-Regular,Sumana-Bold",sumana,2015.0,"
Sumana is a family of Latin and Devanagari fonts for text setting and web usage. 
Designed by Alexei Vanyashin in 2014-2015 for Cyreal.


The Latin counterpart is derived from Lora by Olga Karpushina, Cyreal. 
Its vertical and horizontal metrics are adjusted to better match with the Devanagari. 
The meaning of Sumana in Sanskrit is flower, which is the meaning of Lora in Spanish. 
It was quite a challenge to match the graphical characteristics of each script and took many iterations to finalise the first release. 
I tried to keep the Devanagari closer to a traditional Indian calligraphic model while flavouring it with graphic solutions derived from Lora's Latin. 


It is my first attempt to design a Devanagari, and I am thankful to Google Fonts for making this project happen, and to all experts who consulted with me on this project, including: 
Fiona Ross, Eric McLaughlin, Vaishnavi Murthy, Pria Ravichandran, and Wei Huang. 
The comments and revision history can be found in this discussion in the Google Fonts forum.


This project is led by Cyreal, an international type foundry focused on designing contemporary Latin and Cyrillic typefaces. 
To contribute, visit github.com/cyrealtype/Sumana

","{'vertical', 'international', 'calligraphic', 'characteristic', 'contemporary', 'national', 'graphic', 'traditional'}",['Cyreal']
Kranky,display,876,kranky,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,Kranky-Regular,kranky,2010.0,"
Kranky is a hand-crafted, fun-filled font.

",set(),['Sideshow']
UnifrakturCook,display,877,unifrakturcook,700,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,UnifrakturCook-Bold,unifrakturcook,2009.0,"UnifrakturCook is a blackletter font. It is based on Peter Wiegel’s font Koch fette deutsche Schrift which is in turn based on a 1910 typeface by Rudolf Koch. While the glyph design of Peter Wiegel’s font has hardly been changed at all, UnifrakturCook uses smart font technologies for displaying the font’s ligatures (OpenType, Apple Advanced Typography and SIL Graphite). An experimental feature is the distinction of good blackletter typography between required ligatures ‹ch, ck, ſt, tz› that must be kept when letterspacing is increased, and regular ligatures (for instance, ‹fi, fl›) that are broken up when letterspacing is increased. Using the ligatures: Whenever you type a sequence such as ‹tz›, it will automatically be displayed as a ligature. When you want to oppress a ligature, for instance in the German word «Zeitzone» ‘time zone’ that should have no tz-ligature, then you put a zero width non-joiner between the ‹t› and the ‹z› or, alternatively, you write «Zeit&zwnj;zone» in the HTML code. Unfortunately, this will only work on a browser that is capable of displaying ligatures. Of course, UnifrakturMaguntia provides the character ‹ſ› (U+017F LATIN SMALL LETTER LONG S)! UnifrakturCook is optimized for @font-face linking on the internet by combining standards compliance with a permissive license. UnifrakturCook has first been published in 2010 at UnifrakturCook. It has been edited with FontForge, the libre outline font editor. OpenType features have been added with FontForge directly. AAT features have been added with ftxenhancer of the Apple Font Tools. Graphite has been added with the Graphite Compiler. For more information about AAT and Graphite, you may want to check out the Free Tengwar Font Project: Adding Graphite and AAT to a font.","{'capable', 'regular'}","[""j. \\'mach\\' wust""]"
Gotu,sans-serif,878,gotu,400,['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,Gotu-Regular,gotu,2016.0,"
Rotund curves, large loops and voluminous counters. Gotu reimagines Devanagari calligraphy while at the same time reinterprets what high contrast Latin typefaces can be. Though the Devanagari is penned with a traditional canted nib, the structures are improvised with an expressive whim that belies conventions of structure and challenges notions of consistency. Swooping calligraphic strokes inspire forms that are lyrical without being too opulent. The same spirit resonates within a modulated sans serif style Latin as letters retain a calligraphic stress and keep the delicate typographic quirks. Furnished with such typographic subtleties, Gotu can lend its distinct style to a quaint monograph, a striking headline, an ornate invite or even a chic brand.


To contribute, see .

","{'calligraphic', 'typographic', 'expressive', 'graphic', 'traditional'}",['Ek Type']
Freehand,display,879,freehand,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,Freehand-Regular,freehand,2020.0,"
Freehand is a Khmer font for body text. The design is inspired by a popular style of Khmer handwriting letterforms.


To contribute, see github.com/danhhong/Freehand.
",{'popular'},['Danh Hong']
Dongle,sans-serif,880,dongle,"300,400,700",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Dongle-Regular,Dongle-Light,Dongle-Bold",dongle,2021.0,"
    Dongle(동글) is a rounded sans-serif typeface for display. It is a modular Hangeul with the de-square frame, creating a playful and rhythmic movement. The name, Dongle(동글) comes from a Korean onomatopoeia, meaning 'rounded or curved shape(with adorable impression)’. 


To contribute to the project, visit https://github.com/yangheeryu/Dongle

",set(),['Yanghee Ryu']
Baloo Bhaijaan 2,display,881,baloo-bhaijaan-2,"400,500,600,700,800",['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,BalooBhaijaan2,baloobhaijaan2,2019.0,"
    A perfect blend of pointy paws in a coat of fur, Baloo is an affable display typeface by Ek Type.
    Available in nine Indian scripts plus Arabic along with a Latin counterpart, the family is Unicode compliant and
    libre licensed.


    Baloo 2 is an extension of the earlier Baloo project. The new Baloo 2 includes additional glyphs, engineering
    improvements, and has been extended to five weights, ranging from the light footed Regular to the affable ExtraBold.
    The lighter weights retain Baloo’s characteristic bounce, but they do so slightly, infusing life into each word.
    This allows the new family to freely fraternise with texts of all sizes and temperaments — be it short bursts or
    copious reams, demanding headlines or whispering bylines. Carefree yet confident, sprightly yet versatile, the
    renewed family of Baloo promises to bring warmth to every project.


    The Baloo 2 project consists of ten font families with unique
    local names for each of the nine Indic scripts plus Arabic (Baloo Bhaijaan 2). Each family supports one
    Indic/Arabic script plus Latin, Latin Extended, and Vietnamese.


    It took a team of committed type designers to rear Baloo and raise it to be the typeface we love. The Gurmukhi is
    designed by Shuchita Grover; Bangla by Noopur Datye and Sulekha Rajkumar; Odia by Yesha Goshar, Manish Minz, and
    Shuchita Grover; Gujarati by Noopur Datye and Supriya Tembe; Kannada by Divya Kowshik and Shuchita Grover; Telugu by
    Maithili Shingre and Omkar Shende; Malayalam by Maithili Shingre and Unnati Kotecha; and Tamil by Aadarsh Rajan.
    Baloo Devanagari and Latin are collaboratively designed by Ek Type. Font engineering and type design assistance by
    Girish Dalvi.


    To contribute to the project, visit github.com/EkType/Baloo2
","{'characteristic', 'affable', 'additional'}",['Ek Type']
Spicy Rice,display,882,spicy-rice,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,SpicyRice-Regular,spicyrice,2011.0,"Casual and exciting, Spicy Rice has a festive flair to it that works for winter holidays as well as summertime jams. The extra heavy letterforms imbued with a little exotic flavor are waiting for you to bring it to the party!",{'little'},['Astigmatic']
The Girl Next Door,handwriting,883,the-girl-next-door,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,TheGirlNextDoor,thegirlnextdoor,2010.0,"'the girl next door' is based on the handwriting of a middle school geography teacher. From her personality to her handwriting, she is the typical girl next door - she puts you at ease in every situation and is perfectly comfortable and confident in who she is.  Her handwriting reflects that and is readable, neat, and yet comfortable and welcoming.","{'typical', 'comfortable', 'personal', 'readable'}",['Kimberly Geswein']
Sofia Sans Extra Condensed,sans-serif,884,sofia-sans-extra-condensed,"100,200,300,400,500,600,700,800,900","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"SofiaSansExtraCondensed-Italic,SofiaSansExtraCondensed",sofiasansextracondensed,2019.0,"
     Originaly designed as a typeface for the capital city of Bulgaria, Sofia Sans is a comprehensive type system in four widths (Normal,  SemiCondensed, Condensed and  ExtraCondensed) with extended coverage of the Latin, Greek, and Cyrillic Scripts.


     Inspired by the early-twentieth-century so-called technical sans serifs typefaces with confident letterforms, a pronounced vertical impetus, and tense curves, Sofia Sans also has nice humanistic details and soft round corners that reminds print work with hot metal typesetting.


     With narrow proportions and a generous x-height, is a space-saving workhorse that would work well in very diverse environments. Sofia Sans is also a feature-rich OpenType family with a large character set including small caps, several figure styles, arrows, numerals in circles among others.


     To contribute, see github.com/lettersoup/Sofia-Sans.

","{'vertical', 'generous', 'humanistic', 'several', 'technical'}","['Lettersoup', 'Botio Nikoltchev', 'Ani Petrova']"
Londrina Shadow,display,885,londrina-shadow,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,LondrinaShadow-Regular,londrinashadow,2011.0,"
The Londrina super family is composed of 4 family styles: 
Londrina Solid, 
Londrina Shadow, 
Londrina Outline, 
and Londrina Sketch. 
You can combine the main style, Solid, with the others to create different effects. 
The origins of the Londrina typeface project is in the streets of Sao Paulo, Brazil: 
Urban confusion. 
Initially I designed the ""New Folk"" for use in a poster, with only uppercase letters. 
I saw at the start some potential for a typeface that could recall the feelings of the writing used day-to-day in my city's informal communication, and developed it into a typeface family with lowercases too. 
This is the Londrina Outline member of the Londrina family.


To contribute to the project contact Marcelo Magalhães

","{'different', 'informal', 'formal'}",['Marcelo Magalhães']
Libre Barcode 39 Extended Text,display,886,libre-barcode-39-extended-text,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,LibreBarcode39ExtendedText-Regular,librebarcode39extendedtext,2020.0,"
Libre Barcode fonts enable you to write barcodes in the Code 39, Code 128 and EAN-13/UPC-12 formats, with or without text below the code. A number of fonts are available.

For usage instructions and further information vist the documentation of the Code 39 format.

The Libre Barcode project is led by Lasse Fister, a font and web developer based in Nuremberg, Germany.
To contribute, see github.com/graphicore/librebarcode.

","{'enable', 'graphic', 'available'}",['Lasse Fister']
Trade Winds,display,887,trade-winds,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,TradeWinds-Regular,tradewinds,2011.0,"Ahoy, matey! Prepare to set sail on the high seas! Let TradeWinds guide you to exotic ports of call where your next adventure begins. This breezy font by Squid and Sideshow will blow you away!",set(),['Sideshow']
Gafata,sans-serif,888,gafata,400,['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,Gafata-Regular,gafata,2012.0,"Gafata is a font designed for small sizes in medium-long text, mixing
elegance and readability which is why it has great applicability in books,
magazines and web pages. In the process of finding the finest legibility,
particular features emerged making this whimsical sans serif different from
the rest, creating an original mark to the text it's applied to.
Updated in March 2013 with updated spacing.
Updated in April 2013 with updated hinting.
To contribute to the project contact 
Lautaro Hourcade.
","{'different', 'whimsical', 'original', 'particular'}",['Lautaro Hourcade']
Kaisei Opti,serif,889,kaisei-opti,"400,500,700",['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"KaiseiOpti-Regular,KaiseiOpti-Bold,KaiseiOpti-Medium",kaiseiopti,2020.0,"
Kaisei Opti is a modern style Japanese typeface. When typesetted, it gives a cheerful and breezy impression. 


To contribute to the project, visit https://github.com/FontKai-Kaisei/Kaisei

",{'modern'},['Font-Kai']
Uncial Antiqua,display,890,uncial-antiqua,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,UncialAntiqua-Regular,uncialantiqua,2011.0,"Uncial Antiqua is a hybrid typeface which combines the speedier penned styles of Uncial and Half Uncial letterforms together in a formal text representation. Signature letterforms to the Uncial & Half Uncial styles are not sacrificed in this compilation, yet readability is surprisingly maintained when read in context.",{'formal'},['Astigmatic']
Lexend Mega,sans-serif,891,lexend-mega,"100,200,300,400,500,600,700,800,900",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,LexendMega,lexendmega,2019.0,"
  Lexend is a collection of seven font families intended to improve reading proficiency.
  As prescription eyeglasses achieve proficiency for persons with short-sightedness, Lexend's families were developed using Shaver-Troup Formulations.

All the Lexend fonts have been upgraded to variable fonts with a weight axis (from Thin to Black) in June 2021, thanks to the efforts of Font Bureau.

  To contribute, see github.com/googlefonts/lexend.
  For more information, see lexend.com.

","{'variable', 'upgraded'}","['Bonnie Shaver-Troup', 'Thomas Jockin', 'Santiago Orozco', 'Héctor Gómez', 'Superunion']"
Nokora,sans-serif,892,nokora,"100,300,400,700,900",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Nokora-Regular,Nokora-Light,Nokora-Thin,Nokora-Bold,Nokora-Black",nokora,2019.0,"
Nokora is a Khmer font for body text, that pairs well with Latin sans serif fonts.


To contribute, see github.com/danhhong/Nokora.

",set(),['Danh Hong']
Denk One,sans-serif,893,denk-one,400,['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,DenkOne-Regular,denkone,2012.0,"Denk One is a medium contrast display sans serif. It was inspired by a hand
painted German sign. It has been carefully adjusted to the restrictions of the
screen. Despite having display characteristics, Denk One can be used in a wide
range of sizes.
Latest upgrade from February 2023 expands the Latin script language coverage.
To contribute, see github.com/SorkinType/Denk-One.
",{'characteristic'},['Sorkin Type']
Iceland,display,894,iceland,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,Iceland-Regular,iceland,2011.0,"The idea of geometric typefaces with a look reminiscent of the machinery, technology, and interior design of the 1950s originated in Eurostile family by Aldo Novarese and Alessandro Butti (1952). Iceland is a modular square-shaped webfont by Victor Kharyk with a cold brutal character designed with the intention to perform well on screen starting from low resolutions. For this purpose the strokes are deliberatly kept vertical and diagonal cuts have a 45° angle, outlines are rounded. Features like wide proportions and generous x-height are introduced for better legibility. Unconventional and simplified letterforms like k, f, r aid readability at small sizes. While at display sizes they add a crisp and sharp impression. Uppercase letters are decently heavier compared to lowercase as a tribute to the old typographic tradition. This way uppercase is easily distinguished from lowercase, and allows scaling down to be used as Small Caps. Because of its ascetic modular character and squarish proportions Iceland webfont is easily integrated in modular grids and logotypes.","{'vertical', 'generous', 'typographic', 'graphic'}",['Cyreal']
Peddana,serif,895,peddana,400,['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,Peddana-Regular,peddana,2014.0,"
Peddana is an Open Source typeface supporting both the Telugu and Latin scripts. 
This font was developed mainly for the use in news publications and is suitable for text, headings, posters and invitations.


The Telugu is developed by Appaji Ambarisha Darbha in 2013 and made available under the SIL Open Font License v1.1 by Silicon Andhra.
The Latin is developed by SIL International and originally published as Charis.
The Peddana project is led by Appaji Ambarisha Darbha, a type designer based in Hyderabad, India. 
To contribute, see github.com/appajid/peddana

","{'national', 'suitable', 'original', 'available'}",['Appaji Ambarisha Darbha']
